# station: Maalayarkattu Bridge
# unit_id: IDP
# device_key: q9noz41qfio
# type: river_level   region: batticaloa
# value unit: m   max_level_m: 6
# lat: 7.434   lon: 81.69227
# source: rivernet.lk flood early-warning API (site-owner permission granted)
datetime_utc,datetime_local_530,value,received_at_utc,source
2026-09-24T10:54:00Z,2026-09-24 16:24:00,0.51,,chart
2026-09-24T10:55:00Z,2026-09-24 16:25:00,0.51,,chart
2026-09-24T10:56:00Z,2026-09-24 16:26:00,0.51,,chart
2026-09-24T10:57:00Z,2026-09-24 16:27:00,0.51,,chart
2026-09-24T10:58:00Z,2026-09-24 16:28:00,0.51,,chart
2026-09-24T10:59:00Z,2026-09-24 16:29:00,0.51,,chart
2026-09-24T11:00:00Z,2026-09-24 16:30:00,0.51,,chart
2026-09-24T11:01:00Z,2026-09-24 16:31:00,0.51,,chart
2026-09-24T11:02:00Z,2026-09-24 16:32:00,0.51,,chart
2026-09-24T11:03:00Z,2026-09-24 16:33:00,0.51,,chart
2026-09-24T11:04:00Z,2026-09-24 16:34:00,0.51,,chart
2026-09-24T11:05:00Z,2026-09-24 16:35:00,0.51,,chart
2026-09-24T11:06:00Z,2026-09-24 16:36:00,0.51,,chart
2026-09-24T11:07:00Z,2026-09-24 16:37:00,0.51,,chart
2026-09-24T11:08:00Z,2026-09-24 16:38:00,0.51,,chart
2026-09-24T11:09:00Z,2026-09-24 16:39:00,0.51,,chart
2026-09-24T11:10:00Z,2026-09-24 16:40:00,0.51,,chart
2026-09-24T11:11:00Z,2026-09-24 16:41:00,0.51,,chart
2026-09-24T11:12:00Z,2026-09-24 16:42:00,0.51,,chart
2026-09-24T11:13:00Z,2026-09-24 16:43:00,0.51,,chart
2026-09-24T11:14:00Z,2026-09-24 16:44:00,0.51,,chart
2026-09-24T11:15:00Z,2026-09-24 16:45:00,0.51,,chart
2026-09-24T11:16:00Z,2026-09-24 16:46:00,0.51,,chart
2026-09-24T11:17:00Z,2026-09-24 16:47:00,0.51,,chart
2026-09-24T11:18:00Z,2026-09-24 16:48:00,0.51,,chart
2026-09-24T11:19:00Z,2026-09-24 16:49:00,0.51,,chart
2026-09-24T11:20:00Z,2026-09-24 16:50:00,0.51,,chart
2026-09-24T11:21:00Z,2026-09-24 16:51:00,0.51,,chart
2026-09-24T11:22:00Z,2026-09-24 16:52:00,0.51,,chart
2026-09-24T11:23:00Z,2026-09-24 16:53:00,0.51,,chart
2026-09-24T11:24:00Z,2026-09-24 16:54:00,0.51,,chart
2026-09-24T11:25:00Z,2026-09-24 16:55:00,0.51,,chart
2026-09-24T11:26:00Z,2026-09-24 16:56:00,0.51,,chart
2026-09-24T11:27:00Z,2026-09-24 16:57:00,0.51,,chart
2026-09-24T11:28:00Z,2026-09-24 16:58:00,0.51,,chart
2026-09-24T11:29:00Z,2026-09-24 16:59:00,0.51,,chart
2026-09-24T11:30:00Z,2026-09-24 17:00:00,0.51,,chart
2026-09-24T11:31:00Z,2026-09-24 17:01:00,0.51,,chart
2026-09-24T11:32:00Z,2026-09-24 17:02:00,0.51,,chart
2026-09-24T11:33:00Z,2026-09-24 17:03:00,0.51,,chart
2026-09-24T11:34:00Z,2026-09-24 17:04:00,0.51,,chart
2026-09-24T11:35:00Z,2026-09-24 17:05:00,0.51,,chart
2026-09-24T11:36:00Z,2026-09-24 17:06:00,0.51,,chart
2026-09-24T11:37:00Z,2026-09-24 17:07:00,0.51,,chart
2026-09-24T11:38:00Z,2026-09-24 17:08:00,0.51,,chart
2026-09-24T11:39:00Z,2026-09-24 17:09:00,0.51,,chart
2026-09-24T11:40:00Z,2026-09-24 17:10:00,0.51,,chart
2026-09-24T11:41:00Z,2026-09-24 17:11:00,0.51,,chart
2026-09-24T11:42:00Z,2026-09-24 17:12:00,0.51,,chart
2026-09-24T11:43:00Z,2026-09-24 17:13:00,0.51,,chart
2026-09-24T11:44:00Z,2026-09-24 17:14:00,0.51,,chart
2026-09-24T11:45:00Z,2026-09-24 17:15:00,0.51,,chart
2026-09-24T11:46:00Z,2026-09-24 17:16:00,0.51,,chart
2026-09-24T11:47:00Z,2026-09-24 17:17:00,0.51,,chart
2026-09-24T11:48:00Z,2026-09-24 17:18:00,0.51,,chart
2026-09-24T11:49:00Z,2026-09-24 17:19:00,0.51,,chart
2026-09-24T11:50:00Z,2026-09-24 17:20:00,0.51,,chart
2026-09-24T11:51:00Z,2026-09-24 17:21:00,0.51,,chart
2026-09-24T11:52:00Z,2026-09-24 17:22:00,0.51,,chart
2026-09-24T11:53:00Z,2026-09-24 17:23:00,0.51,,chart
2026-09-24T11:54:00Z,2026-09-24 17:24:00,0.51,,chart
2026-09-24T11:55:00Z,2026-09-24 17:25:00,0.51,,chart
2026-09-24T11:56:00Z,2026-09-24 17:26:00,0.51,,chart
2026-09-24T11:57:00Z,2026-09-24 17:27:00,0.51,,chart
2026-09-24T11:58:00Z,2026-09-24 17:28:00,0.51,,chart
2026-09-24T11:59:00Z,2026-09-24 17:29:00,0.51,,chart
2026-09-24T12:00:00Z,2026-09-24 17:30:00,0.51,,chart
2026-09-24T12:01:00Z,2026-09-24 17:31:00,0.51,,chart
2026-09-24T12:02:00Z,2026-09-24 17:32:00,0.51,,chart
2026-09-24T12:03:00Z,2026-09-24 17:33:00,0.51,,chart
2026-09-24T12:04:00Z,2026-09-24 17:34:00,0.51,,chart
2026-09-24T12:05:00Z,2026-09-24 17:35:00,0.51,,chart
2026-09-24T12:06:00Z,2026-09-24 17:36:00,0.51,,chart
2026-09-24T12:07:00Z,2026-09-24 17:37:00,0.51,,chart
2026-09-24T12:08:00Z,2026-09-24 17:38:00,0.51,,chart
2026-09-24T12:09:00Z,2026-09-24 17:39:00,0.51,,chart
2026-09-24T12:10:00Z,2026-09-24 17:40:00,0.51,,chart
2026-09-24T12:11:00Z,2026-09-24 17:41:00,0.51,,chart
2026-09-24T12:12:00Z,2026-09-24 17:42:00,0.51,,chart
2026-09-24T12:13:00Z,2026-09-24 17:43:00,0.51,,chart
2026-09-24T12:14:00Z,2026-09-24 17:44:00,0.51,,chart
2026-09-24T12:15:00Z,2026-09-24 17:45:00,0.51,,chart
2026-09-24T12:16:00Z,2026-09-24 17:46:00,0.51,,chart
2026-09-24T12:17:00Z,2026-09-24 17:47:00,0.51,,chart
2026-09-24T12:18:00Z,2026-09-24 17:48:00,0.51,,chart
2026-09-24T12:19:00Z,2026-09-24 17:49:00,0.51,,chart
2026-09-24T12:20:00Z,2026-09-24 17:50:00,0.51,,chart
2026-09-24T12:21:00Z,2026-09-24 17:51:00,0.51,,chart
2026-09-24T12:22:00Z,2026-09-24 17:52:00,0.51,,chart
2026-09-24T12:23:00Z,2026-09-24 17:53:00,0.51,,chart
2026-09-24T12:24:00Z,2026-09-24 17:54:00,0.51,,chart
2026-09-24T12:25:00Z,2026-09-24 17:55:00,0.51,,chart
2026-09-24T12:26:00Z,2026-09-24 17:56:00,0.51,,chart
2026-09-24T12:27:00Z,2026-09-24 17:57:00,0.51,,chart
2026-09-24T12:28:00Z,2026-09-24 17:58:00,0.51,,chart
2026-09-24T12:29:00Z,2026-09-24 17:59:00,0.51,,chart
2026-09-24T12:30:00Z,2026-09-24 18:00:00,0.51,,chart
2026-09-24T12:31:00Z,2026-09-24 18:01:00,0.51,,chart
2026-09-24T12:32:00Z,2026-09-24 18:02:00,0.51,,chart
2026-09-24T12:33:00Z,2026-09-24 18:03:00,0.51,,chart
2026-09-24T12:34:00Z,2026-09-24 18:04:00,0.51,,chart
2026-09-24T12:35:00Z,2026-09-24 18:05:00,0.51,,chart
2026-09-24T12:36:00Z,2026-09-24 18:06:00,0.51,,chart
2026-09-24T12:37:00Z,2026-09-24 18:07:00,0.51,,chart
2026-09-24T12:38:00Z,2026-09-24 18:08:00,0.51,,chart
2026-09-24T12:39:00Z,2026-09-24 18:09:00,0.51,,chart
2026-09-24T12:40:00Z,2026-09-24 18:10:00,0.51,,chart
2026-09-24T12:41:00Z,2026-09-24 18:11:00,0.51,,chart
2026-09-24T12:42:00Z,2026-09-24 18:12:00,0.51,,chart
2026-09-24T12:43:00Z,2026-09-24 18:13:00,0.51,,chart
2026-09-24T12:44:00Z,2026-09-24 18:14:00,0.51,,chart
2026-09-24T12:45:00Z,2026-09-24 18:15:00,0.51,,chart
2026-09-24T12:46:00Z,2026-09-24 18:16:00,0.51,,chart
2026-09-24T12:47:00Z,2026-09-24 18:17:00,0.51,,chart
2026-09-24T12:48:00Z,2026-09-24 18:18:00,0.51,,chart
2026-09-24T12:49:00Z,2026-09-24 18:19:00,0.51,,chart
2026-09-24T12:50:00Z,2026-09-24 18:20:00,0.51,,chart
2026-09-24T12:51:00Z,2026-09-24 18:21:00,0.51,,chart
2026-09-24T12:52:00Z,2026-09-24 18:22:00,0.51,,chart
2026-09-24T12:53:00Z,2026-09-24 18:23:00,0.51,,chart
2026-09-24T12:54:00Z,2026-09-24 18:24:00,0.51,,chart
2026-09-24T12:55:00Z,2026-09-24 18:25:00,0.51,,chart
2026-09-24T12:56:00Z,2026-09-24 18:26:00,0.51,,chart
2026-09-24T12:57:00Z,2026-09-24 18:27:00,0.51,,chart
2026-09-24T12:58:00Z,2026-09-24 18:28:00,0.51,,chart
2026-09-24T12:59:00Z,2026-09-24 18:29:00,0.51,,chart
2026-09-24T13:00:00Z,2026-09-24 18:30:00,0.51,,chart
2026-09-24T13:01:00Z,2026-09-24 18:31:00,0.51,,chart
2026-09-24T13:02:00Z,2026-09-24 18:32:00,0.51,,chart
2026-09-24T13:03:00Z,2026-09-24 18:33:00,0.51,,chart
2026-09-24T13:04:00Z,2026-09-24 18:34:00,0.51,,chart
2026-09-24T13:05:00Z,2026-09-24 18:35:00,0.51,,chart
2026-09-24T13:06:00Z,2026-09-24 18:36:00,0.51,,chart
2026-09-24T13:07:00Z,2026-09-24 18:37:00,0.51,,chart
2026-09-24T13:08:00Z,2026-09-24 18:38:00,0.51,,chart
2026-09-24T13:09:00Z,2026-09-24 18:39:00,0.51,,chart
2026-09-24T13:10:00Z,2026-09-24 18:40:00,0.51,,chart
2026-09-24T13:11:00Z,2026-09-24 18:41:00,0.51,,chart
2026-09-24T13:12:00Z,2026-09-24 18:42:00,0.51,,chart
2026-09-24T13:13:00Z,2026-09-24 18:43:00,0.51,,chart
2026-09-24T13:14:00Z,2026-09-24 18:44:00,0.51,,chart
2026-09-24T13:15:00Z,2026-09-24 18:45:00,0.51,,chart
2026-09-24T13:16:00Z,2026-09-24 18:46:00,0.51,,chart
2026-09-24T13:17:00Z,2026-09-24 18:47:00,0.51,,chart
2026-09-24T13:18:00Z,2026-09-24 18:48:00,0.51,,chart
2026-09-24T13:19:00Z,2026-09-24 18:49:00,0.51,,chart
2026-09-24T13:20:00Z,2026-09-24 18:50:00,0.51,,chart
